Age,Gender,Employment,Income,Repayment_History,Loan_Amount,Loan_Purpose,Existing_Debt,Loan_Tenure,Region,Loan_Status
59,1,0,5849.0,1.0,128.0,2,1107.8636684712,360.0,2,1
49,1,0,6091.0,1.0,128.0,3,1047.216002483966,360.0,0,0
35,1,1,3000.0,1.0,66.0,0,905.9368081087688,360.0,2,1
63,1,0,4941.0,1.0,120.0,1,648.7054007478577,360.0,2,1
28,1,0,6000.0,1.0,141.0,2,1619.58191133851,360.0,2,1
41,1,1,9613.0,1.0,267.0,0,1317.2992399851037,360.0,2,1
59,1,0,3849.0,1.0,95.0,0,477.04621407022785,360.0,2,1
39,1,0,5540.0,0.0,158.0,2,1171.7168465481361,360.0,1,0
43,1,0,5532.0,1.0,168.0,0,24.44275385304317,360.0,2,1
31,1,0,23809.0,1.0,349.0,3,3842.30136308816,360.0,1,0
31,1,0,3900.0,1.0,70.0,0,904.8133557167581,360.0,2,1
44,1,0,4340.0,1.0,109.0,3,895.2238434161902,360.0,2,1
56,1,0,11179.0,1.0,200.0,3,920.4086189803621,360.0,2,1
60,1,0,4693.0,1.0,114.0,2,766.029113965111,360.0,0,0
44,1,0,2385.0,1.0,17.0,0,622.919079069336,120.0,2,1
23,1,0,4950.0,1.0,125.0,2,847.7475365168949,360.0,2,1
42,1,0,3596.0,1.0,100.0,0,408.77706748791667,240.0,2,1
22,0,0,3510.0,0.0,76.0,0,743.4124935479475,360.0,2,0
44,1,0,4887.0,1.0,133.0,1,703.5560178584368,360.0,0,0
64,1,0,6100.0,1.0,115.0,0,799.4353420984507,360.0,2,1
50,1,0,7660.0,0.0,104.0,2,3492.394725868555,360.0,2,0
58,1,0,11580.0,1.0,315.0,3,414.2184680609667,360.0,2,1
22,1,0,4511.0,0.0,116.0,0,131.03298392065244,360.0,1,0
41,1,0,5282.0,0.0,112.0,1,430.74613234378666,360.0,0,0
53,1,0,6642.0,1.0,151.0,2,1349.4486466969718,360.0,1,0
32,1,1,9560.0,1.0,191.0,0,2834.362687137167,360.0,1,1
42,1,0,5052.0,1.0,122.0,2,143.04662358316682,360.0,1,1
64,1,0,5266.0,1.0,110.0,1,1941.3198535369575,360.0,2,1
45,1,0,1442.0,1.0,35.0,1,569.6510233664666,360.0,2,0
47,0,0,5833.0,1.0,120.0,2,43.16738397682034,360.0,1,1
62,1,0,7535.0,1.0,201.0,0,1356.7979004885167,360.0,2,0
48,1,0,3167.0,1.0,74.0,3,1221.269099601005,360.0,2,0
36,1,1,4692.0,1.0,106.0,1,878.4253773641101,360.0,0,0
35,1,0,5167.0,1.0,114.0,0,120.61269389263288,360.0,1,1
64,1,0,15500.0,1.0,320.0,0,483.25665930492033,360.0,0,0
23,1,0,4342.0,1.0,128.0,3,118.58092388393331,360.0,2,1
57,1,0,3158.0,0.0,100.0,1,768.1618236301066,360.0,2,0
27,0,0,5126.0,1.0,144.0,1,1669.7431445018499,360.0,1,1
41,1,0,11376.0,1.0,184.0,0,255.8148585846635,360.0,2,1
29,1,0,5416.0,1.0,110.0,0,442.0879088311822,360.0,1,1
59,1,0,3600.0,1.0,80.0,3,297.9369186611216,360.0,2,0
38,1,0,3013.0,1.0,47.0,3,167.6887915447086,360.0,2,1
24,1,0,2400.0,1.0,75.0,1,1004.9889468029905,360.0,2,1
45,1,0,6277.0,1.0,134.0,2,654.4945061365572,360.0,1,1
34,1,1,4695.0,1.0,96.0,1,731.1154098471427,360.0,2,1
29,0,0,3410.0,1.0,88.0,0,387.709533595477,360.0,2,1
46,1,0,5649.0,1.0,44.0,1,1716.9977152718836,360.0,2,1
22,1,0,5821.0,1.0,144.0,2,1103.9692351511399,360.0,2,1
40,0,0,6085.0,0.0,120.0,3,984.2701645627495,360.0,2,0
48,0,0,6275.0,1.0,144.0,2,411.159616751275,360.0,1,1
27,0,0,3572.0,1.0,100.0,2,759.4294527207707,360.0,1,1
64,0,0,3086.0,1.0,120.0,2,931.5423234596044,360.0,1,1
28,0,0,4230.0,1.0,112.0,3,241.6753396177796,360.0,1,0
55,1,0,4616.0,1.0,134.0,2,956.6765803419727,360.0,2,0
34,0,1,11500.0,0.0,286.0,2,4965.229308524503,360.0,2,0
37,1,0,3875.0,1.0,97.0,2,1249.6881538551486,360.0,1,1
56,1,0,3723.0,1.0,96.0,0,496.4363303918549,360.0,1,1
60,1,0,5566.0,1.0,135.0,2,809.2486341239107,360.0,0,0
24,1,0,10330.0,1.0,180.0,3,3710.5570887547765,360.0,2,1
22,1,0,6216.0,1.0,144.0,2,985.394014213228,360.0,2,1
26,1,0,6296.0,1.0,120.0,2,41.058337804297935,360.0,2,1
62,1,0,3029.0,1.0,99.0,3,1382.3590615304406,360.0,2,1
24,1,1,6058.0,0.0,165.0,2,323.81139457670463,180.0,0,0
49,1,0,4945.0,0.0,128.0,3,1428.1950064913506,360.0,0,0
38,0,0,4166.0,0.0,116.0,2,344.76424020246947,360.0,1,0
46,1,0,10321.0,1.0,258.0,3,96.99603578600144,360.0,1,0
64,1,0,5454.0,0.0,126.0,2,498.35707381241184,180.0,2,0
54,1,0,10750.0,1.0,312.0,2,4195.164428060221,360.0,2,1
30,1,1,7100.0,1.0,125.0,0,985.4344628344344,60.0,2,1
56,0,0,4300.0,0.0,136.0,0,473.20901027435866,360.0,1,0
34,1,0,6274.0,1.0,172.0,2,341.139978083327,360.0,2,1
51,1,1,3750.0,1.0,97.0,2,482.97532725638683,360.0,1,1
35,1,0,3500.0,1.0,81.0,1,1707.1973024448234,300.0,1,1
28,1,0,4755.0,0.0,95.0,3,1091.2463190104486,360.0,1,0
34,1,1,7040.0,1.0,187.0,1,1467.3850362874962,360.0,1,1
43,1,0,3750.0,1.0,113.0,0,1613.685033545126,480.0,2,0
60,1,0,8500.0,1.0,176.0,0,1003.2557230006099,360.0,2,0
41,1,1,4022.0,1.0,110.0,0,92.23143570942804,360.0,2,0
36,1,0,7167.0,0.0,180.0,0,474.41012628221637,300.0,1,0
38,1,1,5499.0,1.0,130.0,2,516.5098876266401,360.0,1,1
44,0,0,3846.0,1.0,111.0,0,764.0427360249607,360.0,1,1
46,1,1,2395.0,1.0,128.0,2,511.0797141407574,360.0,1,1
45,0,0,3259.0,1.0,167.0,2,551.0498132091716,360.0,2,0
61,1,0,8250.0,1.0,265.0,0,1048.160997147999,360.0,1,0
49,1,0,3988.0,1.0,50.0,0,933.6542659121104,240.0,2,1
35,1,0,4897.0,1.0,136.0,3,739.3465926813949,360.0,1,1
21,1,0,5333.0,1.0,99.0,1,629.4802914090421,360.0,1,1
45,1,0,4618.0,1.0,104.0,0,1045.706016615416,360.0,1,1
27,1,0,8566.0,1.0,210.0,3,2516.0637869345405,360.0,2,1
29,1,0,9862.0,1.0,175.0,3,837.2922240817165,360.0,1,1
44,1,0,5858.0,1.0,131.0,1,1056.093556489156,360.0,1,1
21,1,0,11904.0,1.0,188.0,2,1648.8991567024557,180.0,1,1
64,1,0,5093.0,1.0,81.0,0,874.6370660424845,360.0,2,1
28,1,0,4133.0,1.0,122.0,1,994.1682453429464,360.0,1,1
44,1,0,3620.0,1.0,25.0,0,899.5916273664607,120.0,1,1
31,1,0,6782.0,1.0,128.0,3,2595.323149095622,360.0,2,0
37,0,0,4786.0,1.0,137.0,3,127.90299732949387,360.0,1,1
28,1,0,2974.0,1.0,50.0,2,330.5176389804116,360.0,1,1
55,1,0,4188.0,1.0,115.0,3,158.10404380534402,180.0,1,1
55,1,0,5300.0,1.0,131.0,3,662.480051147383,360.0,1,1
53,1,0,7551.0,1.0,133.0,1,583.815176520322,180.0,2,1
25,1,0,8649.0,1.0,151.0,0,2173.1277373764283,360.0,1,1
62,1,0,13650.0,1.0,128.0,0,3593.8980349496796,360.0,2,1
59,1,0,8235.0,1.0,128.0,1,1862.5439684767175,360.0,1,1
61,1,0,4570.0,1.0,160.0,2,1867.801179155254,360.0,2,1
48,1,0,4082.0,1.0,100.0,0,1281.5177995307267,360.0,2,1
27,1,0,12543.0,1.0,225.0,3,4949.233879025782,360.0,2,1
